1,,,,solution,solution,NPdiversity,NPdiversity
,,,,mean,std,mean,std
team_type,N_agents,l,smoothness,,,,
best,10,12,0,92.30889403901011,7.579792307746251,0.8471703703703704,0.041842603229537235
best,10,12,1,89.5952635877413,9.894461712987459,0.7683111111111112,0.04821160426867607
best,10,12,2,86.06490202963275,11.959432825842079,0.7633925925925925,0.0402254382661216
best,10,12,3,82.19423632856827,14.679481531195586,0.7627851851851852,0.0290897749886959
best,10,12,4,79.71282466371494,15.490072981833181,0.7340148148148148,0.03566487807491737
best,10,12,5,75.56436758905403,18.249082990518065,0.7044444444444444,0.04138907755811736
best,10,12,6,75.8767561866108,17.401913684322654,0.6895851851851851,0.05268449803540524
best,10,12,7,73.32422862268542,19.068967245571102,0.6722666666666667,0.06113723590221025
best,10,12,8,72.64084971196306,18.786024090129146,0.660237037037037,0.06741645868452079
best,10,12,9,71.28101003479912,19.996428553399486,0.6619555555555555,0.06205970300167214
best,10,12,10,72.74532266233017,19.807092205834383,0.6682074074074074,0.06051730741655651
best,10,12,11,70.2114317298128,20.889909863308393,0.6618962962962962,0.06637046447385468
best,10,12,12,69.52192246029381,21.607290682931996,0.6758074074074074,0.059371990672617704
best,10,12,13,69.7661643089438,21.750957972965722,0.6722222222222222,0.05698114033306599
best,10,12,14,69.50893648756474,21.27958813467295,0.680948148148148,0.05561357518607236
best,10,12,15,68.49470991880901,22.508513098751525,0.6825481481481481,0.051469395675581626
best,10,12,16,67.83517795887094,22.161569331510293,0.6798814814814814,0.05275550645319895
best,10,12,17,67.83203846777134,22.4745868853875,0.6822666666666667,0.055530444855765825
best,10,12,18,66.22090562787552,23.22739909319888,0.6835851851851852,0.05549705918600677
best,10,12,19,68.22606253235763,21.951495725159752,0.6877777777777778,0.052285565100105034
best,10,12,20,65.71297391066527,23.315113876993564,0.6929333333333334,0.04954961750920574
random,10,12,0,94.0313713197255,5.864254918452571,0.9181481481481482,0.022219129402034653
random,10,12,1,90.67021867536747,8.308651731197221,0.9180740740740742,0.02382040964673359
random,10,12,2,87.16393434658917,11.299817871177748,0.917362962962963,0.023456721890725958
random,10,12,3,82.00431687000125,14.142978074342874,0.9176148148148149,0.023446702025312047
random,10,12,4,79.99731054087874,14.769466778804187,0.917911111111111,0.023414038579039394
random,10,12,5,77.75368283417107,15.940734326604254,0.9171851851851852,0.02626104833789405
random,10,12,6,76.1046988991855,17.147905632909463,0.9177925925925925,0.02372790181024594
random,10,12,7,73.90475010790583,18.32699755980849,0.9155703703703703,0.02492484228667744
random,10,12,8,71.49339438320621,20.86562585781991,0.9190962962962963,0.022973897406927856
random,10,12,9,71.72529453027794,20.002440383142613,0.9159407407407407,0.024809099022561402
random,10,12,10,71.09881168096662,20.115384059304485,0.9175851851851852,0.022971753057665856
random,10,12,11,70.64820436851127,20.362659405654544,0.9170222222222224,0.02364061875467515
random,10,12,12,68.06551919545934,21.365657117810812,0.916325925925926,0.024413120464886903
random,10,12,13,68.38785643678963,21.739164289750324,0.9162814814814815,0.025003246062329
random,10,12,14,68.7925321273774,21.566154961618082,0.9178074074074074,0.025029605776930055
random,10,12,15,68.60561099071164,22.780833850546856,0.9158222222222223,0.02354076335781218
random,10,12,16,67.35064207130694,22.38010280306613,0.9155703703703703,0.02396675001975269
random,10,12,17,67.13177145094082,22.285047136972285,0.9186666666666666,0.0217743531743335
random,10,12,18,67.73040701701551,22.60030574962264,0.9169629629629631,0.024138532823870216
random,10,12,19,68.9213914190299,21.90461696464089,0.9184592592592593,0.022402023787807906
random,10,12,20,66.51410994620095,22.603673622166433,0.9169777777777778,0.02372366115970325
