,N_agents,l,Run,n,k,worst_agent,average_agent,top_agent,run_id,team_type,Cdiversity,NPdiversity,solution,team
0,10,12,2000,2000,3,81.68195936494584,83.18400955884059,84.4502296183739,1258,best,0.6666666666666666,0.8666666666666667,65.48599807026845,84.248124671468
1,10,12,2000,2000,3,81.68195936494584,83.18400955884059,84.4502296183739,1258,random,0.9166666666666666,0.9259259259259259,96.50097406721505,83.20264805924272
2,10,12,2000,2000,3,81.84673367458892,83.43718111600187,84.57539091012778,1002,best,0.8333333333333334,0.8888888888888888,93.84855081660012,84.37065725211612
3,10,12,2000,2000,3,81.84673367458892,83.43718111600187,84.57539091012778,1002,random,1.0,0.9481481481481482,98.74818614131765,83.29473301107603
4,10,12,2000,2000,3,82.19002892460703,84.31192040265952,85.54766666201084,1476,best,0.5,0.8814814814814814,98.24659986150883,85.41654824860143
5,10,12,2000,2000,3,82.19002892460703,84.31192040265952,85.54766666201084,1476,random,1.0,0.8888888888888888,97.33363093407014,84.49352292612073
6,10,12,2000,2000,3,82.23010666353191,83.80104332486036,84.97306254518266,1416,best,0.4166666666666667,0.7999999999999999,88.93739111029018,84.77763556257172
7,10,12,2000,2000,3,82.23010666353191,83.80104332486036,84.97306254518266,1416,random,1.0,0.9333333333333333,96.62407931881451,83.97062860622583
8,10,12,2000,2000,3,82.26546708152446,83.74072831954085,85.30570909999217,1415,best,0.6666666666666666,0.8814814814814814,92.28584111945392,84.89534985412624
9,10,12,2000,2000,3,82.26546708152446,83.74072831954085,85.30570909999217,1415,random,0.9166666666666666,0.9037037037037037,90.3442322999006,83.71946046032448
10,10,12,2000,2000,3,82.32989290968784,83.79537972740331,84.91918135749445,1146,best,0.75,0.8888888888888888,96.95568787805998,84.7169735988251
11,10,12,2000,2000,3,82.32989290968784,83.79537972740331,84.91918135749445,1146,random,1.0,0.9259259259259259,98.89142758442304,83.73095972786432
12,10,12,2000,2000,3,82.33753667643313,84.10710056099008,85.19541436076253,1094,best,0.6666666666666666,0.9037037037037037,52.21806974642137,85.01236112839192
13,10,12,2000,2000,3,82.33753667643313,84.10710056099008,85.19541436076253,1094,random,0.9166666666666666,0.9037037037037037,90.4595164231519,83.96243485305266
14,10,12,2000,2000,3,82.41891227772031,84.07105427161102,85.43422051119866,1156,best,0.6666666666666666,0.8222222222222222,91.96313923289621,85.2660699772535
15,10,12,2000,2000,3,82.41891227772031,84.07105427161102,85.43422051119866,1156,random,0.9166666666666666,0.9111111111111111,92.10510769398279,84.06603346407897
16,10,12,2000,2000,3,82.42107958706231,83.55320291445962,84.89322047198236,0,best,0.4166666666666667,0.7777777777777778,98.03552335352941,84.77271074582836
17,10,12,2000,2000,3,82.42107958706231,83.55320291445962,84.89322047198236,0,random,1.0,0.9259259259259259,95.97827893892007,83.41565394418598
18,10,12,2000,2000,3,82.43151119689794,83.67580224989759,85.02608490327475,1237,best,0.5833333333333334,0.8074074074074074,86.43639779188797,84.90009083414127
19,10,12,2000,2000,3,82.43151119689794,83.67580224989759,85.02608490327475,1237,random,1.0,0.9037037037037037,84.30027545167374,83.64971072928522
20,10,12,2000,2000,3,82.43536905817044,83.68112737210832,84.69733103266384,1296,best,0.75,0.8666666666666667,95.33695149094706,84.54811207509577
21,10,12,2000,2000,3,82.43536905817044,83.68112737210832,84.69733103266384,1296,random,0.9166666666666666,0.9259259259259259,89.11132821454585,83.77019951131373
22,10,12,2000,2000,3,82.43953044569248,83.99074739916698,85.49271509929254,1158,best,0.75,0.8888888888888888,94.19788655768131,85.27501811887832
23,10,12,2000,2000,3,82.43953044569248,83.99074739916698,85.49271509929254,1158,random,1.0,0.9259259259259259,94.17350450557039,84.05664607717776
24,10,12,2000,2000,3,82.45204835252446,83.83072282887316,85.00288179266983,1090,best,0.5833333333333334,0.8888888888888888,99.30565177123157,84.94089562052126
25,10,12,2000,2000,3,82.45204835252446,83.83072282887316,85.00288179266983,1090,random,0.9166666666666666,0.9407407407407408,95.92213983671911,84.21310199938932
26,10,12,2000,2000,3,82.47918327623995,84.6474246485417,86.13262355165992,1348,best,0.5,0.7999999999999999,94.37780316002767,85.94307522267859
27,10,12,2000,2000,3,82.47918327623995,84.6474246485417,86.13262355165992,1348,random,0.8333333333333334,0.9111111111111111,96.07780388667726,84.77467565045127
28,10,12,2000,2000,3,82.47957065049694,83.96122456320316,85.05712358247986,1125,best,0.6666666666666666,0.9185185185185185,99.57853082339328,84.97929591775635
29,10,12,2000,2000,3,82.47957065049694,83.96122456320316,85.05712358247986,1125,random,1.0,0.9555555555555556,97.90421053319093,83.91747318734835
30,10,12,2000,2000,3,82.50562276649687,84.24939838423252,85.39008186808783,1471,best,0.6666666666666666,0.8592592592592593,92.98047758329237,85.30738037710815
31,10,12,2000,2000,3,82.50562276649687,84.24939838423252,85.39008186808783,1471,random,0.9166666666666666,0.9259259259259259,93.51314336047753,84.10472711782623
32,10,12,2000,2000,3,82.5372681509057,84.70456760434044,85.91284685096066,1310,best,0.5833333333333334,0.7999999999999999,96.81070068613089,85.772430711933
33,10,12,2000,2000,3,82.5372681509057,84.70456760434044,85.91284685096066,1310,random,0.8333333333333334,0.9259259259259259,98.69981792563863,84.65011348184267
34,10,12,2000,2000,3,82.5633687857201,83.8533159792767,85.12002333489784,1365,best,0.5833333333333334,0.837037037037037,96.89184921833147,85.00738548546065
35,10,12,2000,2000,3,82.5633687857201,83.8533159792767,85.12002333489784,1365,random,1.0,0.9333333333333333,96.89184921833147,83.780788564735
